sku_id,current_stock,reorder_point,safety_stock,last_updated
BRG-0001,206,448,64,20-06-2026
BRG-0002,558,221,124,20-06-2026
BRG-0003,761,251,180,20-06-2026
BRG-0004,291,393,179,20-06-2026
BRG-0005,12,413,71,20-06-2026
BRG-0006,289,158,64,20-06-2026
BRG-0007,343,463,104,20-06-2026
BRG-0008,120,406,184,20-06-2026
BRG-0009,113,188,109,20-06-2026
BRG-0010,439,152,179,20-06-2026
BRG-0011,305,363,84,20-06-2026
BRG-0012,489,487,51,20-06-2026
BRG-0013,829,290,195,20-06-2026
BRG-0014,915,369,144,20-06-2026
BRG-0015,824,351,89,20-06-2026
BRG-0016,316,152,73,20-06-2026
BRG-0017,912,140,64,20-06-2026
BRG-0018,747,443,178,20-06-2026
BRG-0019,774,180,185,20-06-2026
BRG-0020,127,330,90,20-06-2026
SEA-0001,602,132,97,20-06-2026
SEA-0002,825,198,153,20-06-2026
SEA-0003,868,200,180,20-06-2026
SEA-0004,894,497,152,20-06-2026
SEA-0005,560,141,173,20-06-2026
SEA-0006,195,340,101,20-06-2026
SEA-0007,270,330,192,20-06-2026
SEA-0008,895,426,135,20-06-2026
SEA-0009,127,233,77,20-06-2026
SEA-0010,605,430,177,20-06-2026
SEA-0011,476,289,178,20-06-2026
SEA-0012,458,332,52,20-06-2026
SEA-0013,333,417,100,20-06-2026
SEA-0014,571,473,145,20-06-2026
SEA-0015,15,151,61,20-06-2026
SEA-0016,180,200,162,20-06-2026
SEA-0017,954,319,103,20-06-2026
SEA-0018,152,225,179,20-06-2026
SEA-0019,538,346,117,20-06-2026
SEA-0020,379,354,87,20-06-2026
FIL-0001,708,494,193,20-06-2026
FIL-0002,759,448,52,20-06-2026
FIL-0003,247,445,196,20-06-2026
FIL-0004,437,227,88,20-06-2026
FIL-0005,710,250,91,20-06-2026
FIL-0006,980,211,109,20-06-2026
FIL-0007,259,239,86,20-06-2026
FIL-0008,915,198,196,20-06-2026
FIL-0009,772,153,169,20-06-2026
FIL-0010,353,203,133,20-06-2026
FIL-0011,995,198,142,20-06-2026
FIL-0012,900,262,117,20-06-2026
FIL-0013,234,483,185,20-06-2026
FIL-0014,569,275,164,20-06-2026
FIL-0015,662,137,158,20-06-2026
FIL-0016,897,325,70,20-06-2026
FIL-0017,758,416,97,20-06-2026
FIL-0018,472,116,95,20-06-2026
FIL-0019,448,136,73,20-06-2026
FIL-0020,290,198,165,20-06-2026
ELE-0001,227,260,116,20-06-2026
ELE-0002,422,153,107,20-06-2026
ELE-0003,762,387,135,20-06-2026
ELE-0004,203,485,66,20-06-2026
ELE-0005,576,275,88,20-06-2026
ELE-0006,927,405,62,20-06-2026
ELE-0007,420,272,69,20-06-2026
ELE-0008,570,241,164,20-06-2026
ELE-0009,150,387,135,20-06-2026
ELE-0010,413,224,199,20-06-2026
ELE-0011,882,269,119,20-06-2026
ELE-0012,17,363,102,20-06-2026
ELE-0013,976,295,55,20-06-2026
ELE-0014,919,454,104,20-06-2026
ELE-0015,756,205,196,20-06-2026
ELE-0016,840,157,139,20-06-2026
ELE-0017,740,226,186,20-06-2026
ELE-0018,737,389,145,20-06-2026
ELE-0019,996,336,166,20-06-2026
ELE-0020,960,168,71,20-06-2026
FAS-0001,796,243,135,20-06-2026
FAS-0002,849,146,143,20-06-2026
FAS-0003,650,499,134,20-06-2026
FAS-0004,861,456,72,20-06-2026
FAS-0005,861,389,187,20-06-2026
FAS-0006,115,424,53,20-06-2026
FAS-0007,763,483,133,20-06-2026
FAS-0008,367,132,150,20-06-2026
FAS-0009,655,429,92,20-06-2026
FAS-0010,352,401,179,20-06-2026
FAS-0011,875,436,139,20-06-2026
FAS-0012,295,214,154,20-06-2026
FAS-0013,519,174,169,20-06-2026
FAS-0014,968,263,187,20-06-2026
FAS-0015,647,276,148,20-06-2026
FAS-0016,879,251,86,20-06-2026
FAS-0017,972,316,148,20-06-2026
FAS-0018,828,183,161,20-06-2026
FAS-0019,495,276,149,20-06-2026
FAS-0020,817,364,77,20-06-2026
CHE-0001,984,466,193,20-06-2026
CHE-0002,250,478,102,20-06-2026
CHE-0003,285,280,91,20-06-2026
CHE-0004,757,232,124,20-06-2026
CHE-0005,273,352,56,20-06-2026
CHE-0006,293,382,171,20-06-2026
CHE-0007,595,438,185,20-06-2026
CHE-0008,316,244,120,20-06-2026
CHE-0009,544,351,68,20-06-2026
CHE-0010,630,301,139,20-06-2026
CHE-0011,157,240,175,20-06-2026
CHE-0012,100,482,154,20-06-2026
CHE-0013,508,290,162,20-06-2026
CHE-0014,655,233,107,20-06-2026
CHE-0015,179,402,198,20-06-2026
CHE-0016,631,328,196,20-06-2026
CHE-0017,242,404,63,20-06-2026
CHE-0018,755,473,52,20-06-2026
CHE-0019,457,429,65,20-06-2026
CHE-0020,447,107,171,20-06-2026
RAW-0001,831,415,77,20-06-2026
RAW-0002,657,244,190,20-06-2026
RAW-0003,549,470,96,20-06-2026
RAW-0004,104,350,158,20-06-2026
RAW-0005,323,164,195,20-06-2026
RAW-0006,316,381,112,20-06-2026
RAW-0007,198,197,154,20-06-2026
RAW-0008,575,410,55,20-06-2026
RAW-0009,536,457,52,20-06-2026
RAW-0010,244,301,132,20-06-2026
RAW-0011,784,100,100,20-06-2026
RAW-0012,133,468,81,20-06-2026
RAW-0013,870,253,167,20-06-2026
RAW-0014,833,153,182,20-06-2026
RAW-0015,306,354,96,20-06-2026
RAW-0016,521,174,152,20-06-2026
RAW-0017,949,405,147,20-06-2026
RAW-0018,641,407,128,20-06-2026
RAW-0019,999,232,78,20-06-2026
RAW-0020,168,372,133,20-06-2026
CON-0001,846,304,175,20-06-2026
CON-0002,194,210,129,20-06-2026
CON-0003,999,487,153,20-06-2026
CON-0004,771,294,142,20-06-2026
CON-0005,565,376,54,20-06-2026
CON-0006,744,425,50,20-06-2026
CON-0007,829,133,127,20-06-2026
CON-0008,220,348,96,20-06-2026
CON-0009,147,206,112,20-06-2026
CON-0010,724,356,57,20-06-2026
CON-0011,155,402,176,20-06-2026
CON-0012,464,177,179,20-06-2026
CON-0013,102,470,56,20-06-2026
CON-0014,605,338,67,20-06-2026
CON-0015,584,291,168,20-06-2026
CON-0016,573,372,135,20-06-2026
CON-0017,679,112,74,20-06-2026
CON-0018,327,245,160,20-06-2026
CON-0019,847,363,162,20-06-2026
CON-0020,419,105,75,20-06-2026
